ts,year,quarter,session,in_killzone,vol_regime,pd_zone,atr_pct,ret_15m,ret_60m,recent_sweep,trend_15m,trend_1h,trend_4h,direction,confidence,outcome,realized_R
2016-11-14 18:05:00+00:00,2016,4,ny_pm,0,normal,discount,0.03580787886614351,-0.0005562948638802502,-0.0013127744892113804,none,na,range,bull,flat,0,flat,0.0
2016-11-17 12:02:00+00:00,2016,4,ny_am,1,low,equilibrium,0.011550892520679123,-8.635505383686728e-05,-0.00043797862537206663,none,na,bull,bull,flat,0,flat,0.0
2016-11-21 20:00:00+00:00,2016,4,ny_pm,0,normal,premium,0.017769728341081027,-0.00028991905502219874,-0.00012992987483945615,sellside,na,bull,bull,long,7,win,2.9323467230421976
2016-11-24 13:58:00+00:00,2016,4,ny_am,1,low,premium,0.00410484077784259,-1.0995294014306701e-05,0.0002770564765747039,none,na,bull,bull,flat,0,flat,0.0
2016-11-29 14:25:00+00:00,2016,4,ny_am,1,normal,discount,0.014163174191714688,-0.0002178475821012999,-0.001006750039244498,buyside,na,range,bear,short,5,win,-0.09407665505239068
2016-12-02 08:22:00+00:00,2016,4,london,1,low,premium,0.014980548056487802,-0.00010477716087247573,4.692028296066231e-06,sellside,na,range,range,long,5,loss,-1.2590673575129143
2016-12-06 16:20:00+00:00,2016,4,off,0,normal,discount,0.019677252840631234,0.0001307380187199341,6.249996744797152e-05,buyside,na,bull,range,short,4,loss,-1.100100100100084
2016-12-09 10:17:00+00:00,2016,4,off,0,low,premium,0.006785708344709541,0.00029348583727017405,0.0004112342888882513,none,na,bear,bull,flat,0,flat,0.0
2016-12-13 18:18:00+00:00,2016,4,ny_pm,0,normal,premium,0.026780133493681562,0.001011225405356252,0.0013526110969359713,buyside,na,bull,bull,flat,0,flat,0.0
2016-12-16 12:15:00+00:00,2016,4,ny_am,1,low,discount,0.012647336166275851,9.85289031520767e-05,0.0001724383231353556,none,na,bull,range,flat,0,flat,0.0
2016-12-21 07:13:00+00:00,2016,4,london,1,normal,premium,0.013862473453409697,-0.00015022909937654924,0.0010277749924796952,sellside,na,range,bull,long,5,win,0.4494382022471175
2016-12-23 15:12:00+00:00,2016,4,ny_am,1,high,equilibrium,0.016603880489281565,3.6149659590581313e-05,0.0007335459611762532,sellside,na,bull,range,flat,0,flat,0.0
2016-12-29 09:17:00+00:00,2016,4,london,1,normal,discount,0.018137304474099177,0.0003234023746109386,0.0002719265364479643,buyside,na,range,bull,short,5,timeout,0.13590883824344033
2017-01-03 17:19:00+00:00,2017,1,off,0,high,discount,0.026902854018084687,-0.0001892744479495268,-0.0005116330934779606,none,na,range,bear,flat,0,flat,0.0
2017-01-06 11:22:00+00:00,2017,1,off,0,low,discount,0.008879092878459241,1.911047767128674e-05,0.0001347947498449183,sellside,na,range,bear,long,4,win,0.20879120879180188
2017-01-10 19:24:00+00:00,2017,1,ny_pm,0,high,discount,0.02553325387156418,0.0007160856402168785,-0.0028120926003426736,buyside,na,range,bull,flat,0,flat,0.0
2017-01-13 13:54:00+00:00,2017,1,ny_am,1,normal,premium,0.017147940101171894,0.00027751090813938673,-0.0005821715854054328,buyside,na,range,bear,short,5,win,-0.0519877675835569
2017-01-18 11:22:00+00:00,2017,1,off,0,normal,premium,0.010710315835972307,-0.00048718270713207513,-0.000485166366169429,none,na,bear,range,flat,0,flat,0.0
2017-01-20 19:20:00+00:00,2017,1,ny_pm,0,normal,discount,0.028082620738294765,-0.000619366780823394,-0.0014083760515494822,none,na,bull,bear,flat,0,flat,0.0
2017-01-25 13:17:00+00:00,2017,1,ny_am,1,low,premium,0.00887709372835394,-8.902746497306787e-05,0.0007894362714179235,none,na,bull,range,flat,0,flat,0.0
2017-01-30 07:14:00+00:00,2017,1,london,1,high,discount,0.015095210986531233,-0.0025325402553446163,-0.0021282359244631406,sellside,na,bear,bull,flat,0,flat,0.0
2017-02-01 15:13:00+00:00,2017,1,ny_am,1,high,premium,0.031847490788984016,-0.0008421696778787374,-0.0006506869588686338,none,na,bear,range,flat,0,flat,0.0
2017-02-06 09:39:00+00:00,2017,1,london,1,normal,premium,0.011654582784818056,-0.0003934121884076594,0.0009055251996294056,none,na,bull,range,flat,0,flat,0.0
2017-02-08 18:06:00+00:00,2017,1,ny_pm,0,normal,equilibrium,0.015551218041701613,0.00020758255148894844,-0.00039446866168401984,none,na,bear,bull,flat,0,flat,0.0
2017-02-13 12:34:00+00:00,2017,1,ny_am,1,low,premium,0.005181102774083975,2.7555746258879825e-05,0.0006336739351249343,buyside,na,bull,range,short,5,timeout,1.0461538461548794
2017-02-15 20:32:00+00:00,2017,1,ny_pm,0,normal,premium,0.014641833252291651,-0.0002623994660825581,0.0006208972961110777,sellside,na,bull,range,long,4,win,-2.019861638027295
